# Copyright (C) 2017  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details.

# Quartus Prime Version 17.1.0 Build 590 10/25/2017 SJ Lite Edition
# File: E:\Altera\A500\nano\src\fpga\de0_nano\out\minimig_de0_nano.csv
# Generated on: Sat Apr 28 17:54:52 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
AUDIOLEFT,Output,PIN_R10,4,B4_N0,PIN_R10,3.3-V LVTTL,,,,,
AUDIORIGHT,Output,PIN_T13,4,B4_N0,PIN_T13,3.3-V LVTTL,,,,,
CLOCK_50,Input,PIN_R8,3,B3_N0,PIN_R8,3.3-V LVTTL,,,,,
DRAM_ADDR[12],Output,PIN_L4,2,B2_N0,PIN_L4,3.3-V LVTTL,,,,,
DRAM_ADDR[11],Output,PIN_N1,2,B2_N0,PIN_N1,3.3-V LVTTL,,,,,
DRAM_ADDR[10],Output,PIN_N2,2,B2_N0,PIN_N2,3.3-V LVTTL,,,,,
DRAM_ADDR[9],Output,PIN_P1,2,B2_N0,PIN_P1,3.3-V LVTTL,,,,,
DRAM_ADDR[8],Output,PIN_R1,2,B2_N0,PIN_R1,3.3-V LVTTL,,,,,
DRAM_ADDR[7],Output,PIN_T6,3,B3_N0,PIN_T6,3.3-V LVTTL,,,,,
DRAM_ADDR[6],Output,PIN_N8,3,B3_N0,PIN_N8,3.3-V LVTTL,,,,,
